BJD - 2454833, Corrected Flux
2307.550486672, 0.998290938,
2307.570918753, 0.998451840,
2307.591350934, 0.998504685,
2307.611782915, 0.998540204,
2307.632214995, 0.998533916,
2307.652647175, 0.998504693,
2307.673079154, 0.998436728,
2307.693511232, 0.998509084,
2307.713943411, 0.998444776,
2307.734375389, 0.998551633,
2307.754807566, 0.998516918,
2307.775239643, 0.998560443,
2307.795671620, 0.998492395,
2307.816103796, 0.998512794,
2307.836535872, 0.998500035,
2307.856967847, 0.998482170,
2307.877400022, 0.998508648,
2307.897832097, 0.998478236,
2307.918264171, 0.998494354,
2307.938696245, 0.998512208,
2307.959128318, 0.998586063,
2307.979560391, 0.998486697,
2307.999992463, 0.998532044,
2308.020424535, 0.998561616,
2308.040856607, 0.998560041,
2308.061288778, 0.998529858,
2308.081720749, 0.998489471,
2308.102152919, 0.998520110,
2308.122584889, 0.998518314,
2308.143016958, 0.998568978,
2308.163449128, 0.998551327,
2308.183881096, 0.998545937,
2308.204313164, 0.998520669,
2308.224745332, 0.998495414,
2308.245177299, 0.998522186,
2308.265609366, 0.998511755,
2308.286041533, 0.998589659,
2308.306473499, 0.998552434,
2308.326905564, 0.998568293,
2308.347337730, 0.998602047,
2308.367769694, 0.998683196,
2308.388201759, 0.998682951,
2308.408633923, 0.998628029,
2308.429065987, 0.998658699,
2308.449497949, 0.998639403,
2308.469930112, 0.998608890,
2308.490362175, 0.998655393,
2308.531226298, 0.998565009,
2308.551658359, 0.998599082,
2308.572090419, 0.998582411,
2308.592522480, 0.998529085,
2308.612954540, 0.998595358,
2308.633386699, 0.998528872,
2308.653818658, 0.998560869,
2308.674250717, 0.998610372,
2308.694682875, 0.998619529,
2308.715114832, 0.998604926,
2308.735546890, 0.998559027,
2308.755979047, 0.998077287,
2308.776411003, 0.997480366,
2308.796843059, 0.997346185,
2308.817275215, 0.997172496,
2308.837707170, 0.997188972,
2308.858139224, 0.997118910,
2308.878571379, 0.997109759,
2308.899003333, 0.997057780,
2308.919435486, 0.997053482,
2308.939867440, 0.997060680,
2308.960299492, 0.997010248,
2308.980731644, 0.997006515,
2309.001163696, 0.996940933,
2309.021595648, 0.996940191,
2309.042027799, 0.996865228,
2309.062459850, 0.996882889,
2309.082891800, 0.996906794,
2309.103323950, 0.996925084,
2309.123755999, 0.996884835,
2309.144187948, 0.996939046,
2309.164620096, 0.996975414,
2309.185052145, 0.996956186,
2309.205484092, 0.997034611,
2309.225916240, 0.997082167,
2309.246348287, 0.997138056,
2309.266780333, 0.997439392,
2309.287212379, 0.998214630,
2309.307644425, 0.998309584,
2309.328076470, 0.998287194,
2309.348508515, 0.998297124,
2309.368940560, 0.998306477,
2309.389372704, 0.998332634,
2309.409804648, 0.998320255,
2309.430236691, 0.998306861,
2309.450668833, 0.998326823,
2309.471100876, 0.998287968,
2309.511964959, 0.998368954,
2309.532397001, 0.998343279,
2309.552828941, 0.998299042,
2309.573261082, 0.998350234,
2309.593693122, 0.998374307,
2309.614125061, 0.998356686,
2309.634557200, 0.998342549,
2309.654989139, 0.998390272,
2309.675421178, 0.998365403,
2309.695853315, 0.998344645,
2309.716285253, 0.998336600,
2309.736717290, 0.998316162,
2309.757149427, 0.998269566,
2309.777581363, 0.998300979,
2309.798013399, 0.998251413,
2309.818445534, 0.998208929,
2309.838877570, 0.998237304,
2309.859309604, 0.998210825,
2309.879741639, 0.998219308,
2309.900173673, 0.998240257,
2309.920605806, 0.998193592,
2309.941037739, 0.998185083,
2309.961469772, 0.998184848,
2309.981901904, 0.998200124,
2310.002333835, 0.998263802,
2310.022765867, 0.998257598,
2310.043197998, 0.998197527,
2310.063629929, 0.998192792,
2310.084061959, 0.998171462,
2310.104494089, 0.998218730,
2310.124926018, 0.998278024,
2310.145358047, 0.998173676,
2310.165790176, 0.998154013,
2310.186222104, 0.998198054,
2310.206654131, 0.998212518,
2310.227086259, 0.998199652,
2310.247518186, 0.998173229,
2310.267950212, 0.998163182,
2310.288382339, 0.998197336,
2310.308814365, 0.998217840,
2310.329246390, 0.998146003,
2310.349678415, 0.998162582,
2310.370110340, 0.998172186,
2310.390542464, 0.998168212,
2310.410974487, 0.998157517,
2310.431406411, 0.998169981,
2310.451838534, 0.998147444,
2310.492702479, 0.998230252,
2310.513134601, 0.998149649,
2310.533566622, 0.998155992,
2310.553998543, 0.998136545,
2310.574430663, 0.998187414,
2310.594862683, 0.998214169,
2310.615294603, 0.998167120,
2310.635726723, 0.998143050,
2310.656158742, 0.998165164,
2310.676590760, 0.998173458,
2310.697022779, 0.998121955,
2310.737886814, 0.998139004,
2310.758318931, 0.998057786,
2310.778750847, 0.998057401,
2310.799182863, 0.998072203,
2310.819614979, 0.998128170,
2310.840046895, 0.998103284,
2310.860479010, 0.998112929,
2310.880911024, 0.998129284,
2310.901342939, 0.998132982,
2310.921775053, 0.998113407,
2310.942207066, 0.998139379,
2310.962638979, 0.998094456,
2310.983071092, 0.998115064,
2311.003503104, 0.998181137,
2311.023935016, 0.998173209,
2311.044367127, 0.998138671,
2311.064799138, 0.998107151,
2311.085231049, 0.998078307,
2311.105663159, 0.998116977,
2311.126095169, 0.998156680,
2311.146527079, 0.998124386,
2311.166959188, 0.998034264,
2311.187391197, 0.998116140,
2311.228255213, 0.998259804,
2311.248687221, 0.998202199,
2311.269119128, 0.998140766,
2311.289551234, 0.998071521,
2311.309983241, 0.998115845,
2311.330415147, 0.998173226,
2311.350847252, 0.998090462,
2311.371279257, 0.998112575,
2311.391711363, 0.998154918,
2311.412143267, 0.998102705,
2311.432575271, 0.998127833,
2311.453007375, 0.998138626,
2311.473439278, 0.998127338,
2311.493871281, 0.998118029,
2311.514303383, 0.998158404,
2311.534735285, 0.998138320,
2311.555167287, 0.998118330,
2311.575599388, 0.998107207,
2311.596031389, 0.998127195,
2311.616463289, 0.998053209,
2311.636895389, 0.998122236,
2311.657327389, 0.998110406,
2311.677759289, 0.998133581,
2311.718623386, 0.998154646,
2311.739055284, 0.998194037,
2311.759487382, 0.998192190,
2311.779919380, 0.998197233,
2311.800351277, 0.998199466,
2311.820783373, 0.998208726,
2311.841215370, 0.998205129,
2311.861647366, 0.998176667,
2311.882079361, 0.998258360,
2311.902511256, 0.998253949,
2311.922943351, 0.998143855,
2311.943375345, 0.998215025,
2311.963807239, 0.998157142,
2311.984239333, 0.998142232,
2312.004671326, 0.998210399,
2312.025103319, 0.998167013,
2312.045535311, 0.998180179,
2312.065967303, 0.998193868,
2312.086399295, 0.998150729,
2312.106831286, 0.998200099,
2312.127263277, 0.998141549,
2312.147695268, 0.998106938,
2312.168127357, 0.998022194,
2312.208991236, 0.998090078,
2312.229423326, 0.998135008,
2312.249855214, 0.998143063,
2312.270287202, 0.998238570,
2312.290719290, 0.998204309,
2312.311151178, 0.998090870,
2312.331583165, 0.998173937,
2312.352015252, 0.998183442,
2312.372447138, 0.998098089,
2312.392879224, 0.998193207,
2312.413311209, 0.998228514,
2312.454175179, 0.998152166,
2312.474607163, 0.998123400,
2312.495039147, 0.998221357,
2312.515471131, 0.998236647,
2312.535903114, 0.998224907,
2312.556335097, 0.998303202,
2312.576767080, 0.998322636,
2312.597199062, 0.998280655,
2312.617630944, 0.998210815,
2312.638063025, 0.998166170,
2312.658495006, 0.998139015,
2312.678926886, 0.998161786,
2312.699358967, 0.998105323,
2312.719790946, 0.998151366,
2312.740222826, 0.998127990,
2312.760654905, 0.998069738,
2312.781086884, 0.998158973,
2312.801518762, 0.998076839,
2312.821950840, 0.998080852,
2312.842382818, 0.998109636,
2312.862814795, 0.998093278,
2312.883246772, 0.998121970,
2312.903678748, 0.998145167,
2312.924110824, 0.998140710,
2312.944542700, 0.998146719,
2312.964974675, 0.998153600,
2312.985406750, 0.998207564,
2313.005838725, 0.998128149,
2313.026270599, 0.998150077,
2313.046702673, 0.998206072,
2313.067134647, 0.998171196,
2313.087566520, 0.998161232,
2313.107998592, 0.998128347,
2313.128430565, 0.998127667,
2313.148862437, 0.998088141,
2313.189726479, 0.998146070,
2313.210158350, 0.998142174,
2313.230590421, 0.998127868,
2313.251022391, 0.998169895,
2313.271454360, 0.998183378,
2313.291886330, 0.998205466,
2313.312318299, 0.998230112,
2313.332750268, 0.998221084,
2313.353182236, 0.998219976,
2313.373614204, 0.998194585,
2313.394046071, 0.998231450,
2313.434910105, 0.998202948,
2313.455342071, 0.998231241,
2313.475774038, 0.998233924,
2313.496206003, 0.998230717,
2313.516638068, 0.998199536,
2313.537069933, 0.998243137,
2313.557501898, 0.998260689,
2313.577933962, 0.998252640,
2313.598365826, 0.998262226,
2313.618797789, 0.998230873,
2313.639229853, 0.998305880,
2313.659661715, 0.998287917,
2313.680093678, 0.998233554,
2313.700525740, 0.998243462,
2313.720957601, 0.998214871,
2313.741389563, 0.998254459,
2313.761821623, 0.998285473,
2313.782253484, 0.998258291,
2313.802685444, 0.998253073,
2313.823117504, 0.998251323,
2313.843549463, 0.998294479,
2313.863981322, 0.998283042,
2313.884413381, 0.998340915,
2313.904845339, 0.998226176,
2313.925277297, 0.998317307,
2313.945709255, 0.998310821,
2313.966141212, 0.998322847,
2313.986573169, 0.998248506,
2314.007005125, 0.998248727,
2314.027437081, 0.998356282,
2314.047869037, 0.998407830,
2314.068300993, 0.998413224,
2314.088732948, 0.998384882,
2314.109164902, 0.998305248,
2314.129596857, 0.998102842,
2314.170460764, 0.998342805,
2314.190892717, 0.998272410,
2314.211324670, 0.998386408,
2314.231756623, 0.998289344,
2314.252188575, 0.998297010,
2314.272620527, 0.998321353,
2314.293052478, 0.998407979,
2314.313484429, 0.998293814,
2314.333916380, 0.998309476,
2314.354348430, 0.998386705,
2314.374780280, 0.998372170,
2314.415644279, 0.998411718,
2314.436076128, 0.998428986,
2314.456508176, 0.998385432,
2314.476940125, 0.998334574,
2314.497371972, 0.998377342,
2314.517804020, 0.998405543,
2314.538235967, 0.998379935,
2314.558667814, 0.998398189,
2314.579099860, 0.998408566,
2314.599531806, 0.998407825,
2314.619963652, 0.998497126,
2314.640395697, 0.998464941,
2314.660827642, 0.998386897,
2314.681259587, 0.998416047,
2314.701691531, 0.998423022,
2314.722123475, 0.998498645,
2314.742555418, 0.998475067,
2314.762987361, 0.998376800,
2314.783419304, 0.998455063,
2314.803851247, 0.998405175,
2314.824283189, 0.998409481,
2314.844715130, 0.998418866,
2314.865146972, 0.998415106,
2314.906010953, 0.998365592,
2314.926442994, 0.998378421,
2314.946874834, 0.998446322,
2314.967306773, 0.998375527,
2314.987738813, 0.998377709,
2315.008170652, 0.998365720,
2315.028602590, 0.998428218,
2315.049034628, 0.998411135,
2315.069466466, 0.998388437,
2315.089898404, 0.998403981,
2315.110330441, 0.998448272,
2315.130762277, 0.998438870,
2315.151194214, 0.998466918,
2315.171626250, 0.998439859,
2315.192058186, 0.998432277,
2315.212490021, 0.998465144,
2315.232922056, 0.998414591,
2315.253353991, 0.998401891,
2315.273785825, 0.998494291,
2315.294217859, 0.998372780,
2315.314649793, 0.998400431,
2315.335081626, 0.998458766,
2315.355513659, 0.998453882,
2315.396377623, 0.998308939,
2315.416809455, 0.998416362,
2315.437241387, 0.998363313,
2315.457673418, 0.998332052,
2315.478105249, 0.998414256,
2315.498537179, 0.998386968,
2315.518969109, 0.998453464,
2315.539401039, 0.998394826,
2315.559832969, 0.998368038,
2315.580264897, 0.998348490,
2315.600696826, 0.998410328,
2315.621128755, 0.998422112,
2315.641560683, 0.998426730,
2315.661992610, 0.998409925,
2315.682424538, 0.998355558,
2315.702856565, 0.998359664,
2315.723288391, 0.998441517,
2315.743720318, 0.998434808,
2315.764152344, 0.998390027,
2315.784584169, 0.998443112,
2315.805016094, 0.998528364,
2315.825448119, 0.998484139,
2315.845879944, 0.998461994,
2315.886743892, 0.998285408,
2315.907175715, 0.998312777,
2315.927607739, 0.998352625,
2315.948039661, 0.998482595,
2315.968471484, 0.998403067,
2315.988903506, 0.998418385,
2316.009335428, 0.998456410,
2316.029767349, 0.998390294,
2316.070631191, 0.998446047,
2316.091063111, 0.998478875,
2316.111495032, 0.998465025,
2316.131926951, 0.998412904,
2316.152358871, 0.998480358,
2316.172790890, 0.998573821,
2316.193222708, 0.998478004,
2316.213654627, 0.998459407,
2316.234086545, 0.998395915,
2316.254518462, 0.998454102,
2316.274950280, 0.998430624,
2316.295382297, 0.998455994,
2316.315814214, 0.998414787,
2316.336246230, 0.998374733,
2316.377109962, 0.998428911,
2316.397541977, 0.998449486,
2316.417973792, 0.998440834,
2316.438405706, 0.998600641,
2316.458837721, 0.998424039,
2316.479269535, 0.998402109,
2316.499701448, 0.998494420,
2316.520133462, 0.998489325,
2316.540565374, 0.998452912,
2316.560997187, 0.998407070,
2316.581429199, 0.998424153,
